name,bootTime,openTime,addTime1,addTime2,addTime3,closeTime,duration,name,symbol,side,AISide,closeType,earn,earnRate,maxEarn,maxEarnRate,maxLoss,lossRate,x,Double,Fsum,GSum,stopEarn,stopLoss,stopLossWMA,stopLossWMA_B,oppo,subStatus
 macd2,08-02 16:53:41,08-02 23:00:46,none,none,none,08-03 01:00:45,119,N329086198,LINAUSDT,short,zero,oppo,0.00,0.0000,15.51,0.0265,-5.96,-0.0361,0.30,0,143.65,84.90,10,4,0,0,48,0
 macd2,08-02 23:07:18,08-02 23:08:28,08-02 23:14:47,none,none,08-03 01:05:18,116,N428970468,PENDLEUSDT,short,zero,oppo,-13.64,-0.0084,30.37,0.0301,-43.82,-0.0264,0.80,0,143.65,128.72,10,4,0,0,50,0
 macd2,08-02 16:03:06,08-02 22:56:07,none,none,none,08-03 01:10:17,134,shenfu,BTCUSDT,short,zero,oppo,0.32,0.0005,9.30,0.0157,-2.52,-0.0298,0.30,0,143.65,96.14,10,4,0,0,52,0
 macd2,08-02 23:00:41,08-02 23:01:51,none,none,none,08-03 01:14:31,132,N842858106,TUSDT,short,zero,oppo,-5.72,-0.0094,14.87,0.0254,-6.58,-0.0108,0.30,0,143.65,137.45,10,4,0,0,54,0
 macd2,08-02 16:07:43,08-02 18:15:43,08-02 22:13:59,none,none,08-03 01:20:53,425,N799959434,BONDUSDT,short,zero,oppo,-11.04,-0.0068,45.31,0.0301,-23.30,-0.0142,0.80,0,143.65,131.72,10,4,0,0,56,0
 macd2,08-02 16:08:16,08-02 23:34:17,none,none,none,08-03 01:30:27,116,N598865970,STORJUSDT,short,zero,oppo,-11.46,-0.0187,2.68,0.0045,-12.65,-0.0207,0.30,0,143.65,154.73,10,4,0,0,58,0
 macd2,08-02 23:07:18,08-03 01:05:23,none,none,none,08-03 01:45:19,39,N428970468,PENDLEUSDT,long,zero,macdSubOppo,4.90,0.0049,14.15,0.0141,0.00,-0.0264,0.50,0,143.65,132.82,10,4,0,0,58,0
 macd2,08-02 23:07:56,08-02 23:08:06,none,none,none,08-03 01:45:56,157,N474421922,AMBUSDT,short,zero,oppo,-2.06,-0.0034,14.72,0.0251,-16.51,-0.0268,0.30,0,143.65,141.12,10,4,0,0,60,0
 macd2,08-02 23:07:56,08-03 01:46:01,none,none,none,08-03 01:55:57,9,N474421922,AMBUSDT,long,zero,macdSubOppo,-1.49,-0.0015,4.70,0.0047,-4.16,-0.0268,0.50,0,132.82,127.99,10,4,0,0,60,0
 macd2,08-02 16:08:16,08-03 00:41:18,none,none,none,08-03 02:05:07,83,N246738867,FETUSDT,long,zero,oppo,-11.37,-0.0189,1.07,0.0018,-12.33,-0.0282,0.30,0,127.99,95.85,10,4,0,0,62,0
 macd2,08-02 16:07:43,08-03 01:21:43,none,none,none,08-03 02:30:23,68,N799959434,BONDUSDT,long,zero,oppo,-3.30,-0.0055,0.90,0.0015,-6.31,-0.0142,0.30,0,127.99,112.27,10,4,0,0,64,0
 macd2,08-02 16:03:06,08-03 01:11:08,none,none,none,08-03 02:40:07,88,shenfu,BTCUSDT,long,zero,macdSubOppo,-2.80,-0.0047,1.61,0.0027,-3.75,-0.0298,0.30,0,127.99,77.21,10,4,0,0,64,0
 macd2,08-02 23:23:24,08-03 01:00:24,none,none,none,08-03 02:40:34,100,N901816731,1000PEPEUSDT,long,zero,oppo,-6.88,-0.0115,7.43,0.0124,-8.07,-0.0249,0.30,0,127.99,108.37,10,4,0,0,66,0
 macd2,08-02 16:08:16,08-03 01:31:17,none,none,none,08-03 02:50:29,79,N598865970,STORJUSDT,long,zero,oppo,-12.99,-0.0216,2.34,0.0039,-13.72,-0.0229,0.30,0,127.99,125.60,10,4,0,0,68,0
 macd2,08-02 16:07:43,08-03 02:30:43,none,none,none,08-03 03:15:43,45,N799959434,BONDUSDT,short,zero,macdSubOppo,0.60,0.0010,1.21,0.0020,-1.51,-0.0142,0.30,0,127.99,112.40,10,4,0,0,68,0
 macd2,08-02 16:53:41,08-03 01:01:42,none,none,none,08-03 03:26:16,144,N329086198,LINAUSDT,long,zero,macdSubOppo,-2.40,-0.0040,9.58,0.0160,-4.79,-0.0361,0.30,0,127.99,66.37,10,4,0,0,68,0
 macd2,08-02 16:07:43,08-03 03:18:18,none,none,none,08-03 03:29:46,11,N799959434,BONDUSDT,short,zero,macdSubOppo,0.00,0.0000,1.51,0.0025,-0.60,-0.0142,0.30,0,66.37,50.30,10,4,0,0,68,0
 macd2,08-02 16:08:16,08-03 02:51:22,none,none,none,08-03 04:35:17,103,N598865970,STORJUSDT,short,zero,oppo,-0.89,-0.0015,7.90,0.0133,-3.88,-0.0229,0.30,0,50.30,46.53,10,4,0,0,70,0
 macd2,08-02 23:31:31,08-02 23:31:41,none,none,none,08-03 04:40:22,308,N772860826,ARKUSDT,short,zero,oppo,2.60,0.0043,12.12,0.0206,-18.71,-0.0302,0.30,0,50.30,52.41,10,4,0,0,72,0
 macd2,08-02 23:23:24,08-03 02:41:24,none,none,none,08-03 04:40:34,119,N901816731,1000PEPEUSDT,short,zero,oppo,-0.15,-0.0003,12.28,0.0209,-6.39,-0.0249,0.30,0,50.30,30.04,10,4,0,0,74,0
 macd2,08-03 03:28:46,08-03 03:30:36,none,none,none,08-03 04:45:16,74,N998945774,1000RATSUSDT,short,zero,oppo,-6.69,-0.0110,8.06,0.0136,-11.49,-0.0188,0.30,0,50.30,43.12,10,4,0,0,76,0
 macd2,08-02 20:14:26,08-02 20:14:36,08-02 23:04:21,none,none,08-03 04:45:27,510,N968241563,FXSUSDT,short,zero,oppo,21.28,0.0133,44.36,0.0303,-15.10,-0.0092,0.80,0,50.30,70.28,10,4,0,0,78,0
 macd2,08-03 03:32:18,08-03 03:32:28,none,none,none,08-03 04:45:48,73,N191570766,WIFUSDT,short,zero,oppo,-6.39,-0.0105,6.72,0.0113,-12.34,-0.0202,0.30,0,50.30,43.43,10,4,0,0,80,0
 macd2,08-02 16:08:16,08-03 02:05:17,none,none,none,08-03 04:50:17,165,N246738867,FETUSDT,short,zero,oppo,2.08,0.0035,12.46,0.0212,-3.88,-0.0282,0.30,0,50.30,19.75,10,4,0,0,82,0
 macd2,08-03 03:32:18,08-03 04:46:18,none,none,none,08-03 05:12:59,26,N191570766,WIFUSDT,long,zero,AICloseOppo,-21.49,-0.0358,3.41,0.0057,-21.49,-0.0358,0.30,0,50.30,21.45,10,4,0,0,82,0
 macd2,08-02 23:23:24,08-03 04:41:24,none,none,none,08-03 05:15:31,34,N901816731,1000PEPEUSDT,long,zero,AICloseOppo,-22.82,-0.0380,2.76,0.0046,-22.82,-0.0380,0.30,0,50.30,6.74,10,4,0,0,82,0
 macd2,08-02 20:14:26,08-03 04:46:27,none,none,none,08-03 05:50:18,63,N968241563,FXSUSDT,long,zero,oppo,-7.96,-0.0133,1.41,0.0023,-19.50,-0.0325,0.30,0,50.30,61.84,10,4,0,0,84,0
 macd2,08-02 16:08:16,08-03 04:51:17,none,none,none,08-03 06:05:17,74,N246738867,FETUSDT,long,zero,macdSubOppo,-8.61,-0.0144,0.00,0.0000,-20.57,-0.0343,0.30,0,50.30,10.66,10,4,0,0,84,0
 macd2,08-02 16:03:06,08-03 05:15:27,none,none,none,08-03 06:35:27,80,shenfu,BTCUSDT,short,zero,oppo,0.59,0.0010,5.95,0.0100,-3.49,-0.0298,0.30,0,10.66,-39.99,10,4,0,0,86,0
 macd2,08-03 01:47:53,08-03 01:48:03,none,none,none,08-03 06:45:23,297,N218290587,TNSRUSDT,long,zero,oppo,-26.62,-0.0444,1.00,0.0017,-27.19,-0.0453,0.30,0,10.66,-16.44,10,4,0,0,88,0
 macd2,08-02 16:08:16,08-03 04:36:17,none,none,none,08-03 06:55:27,139,N598865970,STORJUSDT,long,zero,oppo,-10.41,-0.0174,4.31,0.0072,-14.43,-0.0240,0.30,0,10.66,-4.00,10,4,0,0,90,0
 macd2,08-02 23:31:31,08-03 04:40:32,none,none,none,08-03 07:00:42,140,N772860826,ARKUSDT,long,zero,oppo,-16.52,-0.0275,1.74,0.0029,-22.08,-0.0368,0.30,0,10.66,-4.22,10,4,0,0,92,0
 macd2,08-02 23:00:41,08-03 01:14:42,none,none,none,08-03 07:05:12,350,N842858106,TUSDT,long,zero,oppo,-19.54,-0.0326,0.85,0.0014,-20.95,-0.0349,0.30,0,10.66,-15.56,10,4,0,0,94,0
 macd2,08-02 16:03:06,08-03 06:36:07,none,none,none,08-03 07:40:07,63,shenfu,BTCUSDT,long,zero,macdSubOppo,-1.42,-0.0024,0.54,0.0009,-5.52,-0.0298,0.30,0,10.66,-41.87,10,4,0,0,94,0
 macd2,08-03 03:32:18,08-03 05:13:18,08-03 06:06:02,none,none,08-03 08:01:02,167,N191570766,WIFUSDT,short,AIOpenOppo,stopEarn,35.08,0.0222,63.98,0.0412,-3.68,-0.0358,0.80,0,10.66,15.60,12,4,0,0,94,0
 macd2,08-03 01:47:53,08-03 06:45:53,none,none,none,08-03 08:25:43,99,N218290587,TNSRUSDT,short,zero,oppo,-8.36,-0.0137,0.45,0.0007,-12.54,-0.0453,0.30,0,10.66,-20.34,12,4,0,0,96,0
 macd2,08-02 23:00:41,08-03 07:05:42,none,none,none,08-03 08:25:52,80,N842858106,TUSDT,short,zero,oppo,-3.21,-0.0053,1.17,0.0020,-5.26,-0.0349,0.30,0,10.66,-14.32,12,4,0,0,98,0
 macd2,08-02 23:31:31,08-03 07:01:32,none,none,none,08-03 08:30:22,88,N772860826,ARKUSDT,short,zero,oppo,-6.63,-0.0109,7.17,0.0121,-16.67,-0.0368,0.30,0,10.66,-6.40,12,4,0,0,100,0
 macd2,08-03 01:47:53,08-03 08:25:54,none,none,none,08-03 09:10:01,44,N218290587,TNSRUSDT,long,zero,AICloseOppo,-26.78,-0.0446,1.18,0.0020,-26.78,-0.0453,0.30,0,10.66,-47.60,12,4,0,0,100,0
 macd2,08-03 03:28:46,08-03 04:45:47,none,none,none,08-03 09:10:16,264,N998945774,1000RATSUSDT,long,zero,AICloseOppo,-30.60,-0.0510,2.57,0.0043,-30.60,-0.0510,0.30,0,10.66,-22.66,12,4,0,0,100,0
 macd2,08-03 08:03:23,08-03 08:03:33,none,none,none,08-03 09:10:53,67,N881054659,1000SATSUSDT,long,zero,oppo,-27.40,-0.0457,5.39,0.0090,-28.81,-0.0480,0.30,0,10.66,-12.28,12,4,0,0,102,0
 macd2,08-03 02:38:26,08-03 02:38:37,none,none,none,08-03 09:25:17,406,N377138609,TRBUSDT,long,zero,oppo,-0.17,-0.0003,14.77,0.0246,-11.99,-0.0200,0.30,0,10.66,14.94,12,4,0,0,104,0
 macd2,08-03 06:21:51,08-03 06:22:01,none,none,none,08-03 09:25:22,183,N156778931,RENDERUSDT,long,zero,oppo,-12.43,-0.0207,8.29,0.0138,-20.84,-0.0347,0.30,0,10.66,2.69,12,4,0,0,106,0
 macd2,08-02 23:00:41,08-03 08:27:04,none,none,none,08-03 09:25:32,58,N842858106,TUSDT,long,zero,oppo,-11.34,-0.0189,0.00,0.0000,-20.36,-0.0349,0.30,0,10.66,-26.14,12,4,0,0,108,0
 macd2,08-02 23:31:31,08-03 08:30:32,none,none,none,08-03 09:38:12,67,N772860826,ARKUSDT,long,zero,oppo,-19.81,-0.0198,4.73,0.0047,-39.92,-0.0399,0.50,0,10.66,-27.01,12,4,0,0,110,0
 macd2,08-03 03:28:46,08-03 09:10:47,none,none,none,08-03 10:17:09,66,N998945774,1000RATSUSDT,short,AIOpenOppo,stopLoss,-31.59,-0.0500,0.00,0.0000,-31.59,-0.0510,0.30,0,10.66,-54.73,12,6,0,0,110,0
 macd2,08-03 08:03:23,08-03 09:11:23,none,none,none,08-03 10:20:13,68,N881054659,1000SATSUSDT,short,zero,oppo,-20.07,-0.0324,1.71,0.0029,-24.24,-0.0480,0.30,0,10.66,-103.16,12,6,0,0,112,0
 macd2,08-02 23:31:31,08-03 09:38:32,none,none,none,08-03 10:50:42,72,N772860826,ARKUSDT,short,zero,oppo,-3.62,-0.0060,1.27,0.0021,-9.05,-0.0399,0.30,0,10.66,-101.43,12,6,0,0,114,0
 macd2,08-02 23:00:41,08-03 09:25:42,none,none,none,08-03 11:00:32,94,N842858106,TUSDT,short,zero,oppo,-15.80,-0.0156,0.99,0.0010,-22.22,-0.0349,0.50,0,10.66,-113.07,12,6,0,0,116,0
 macd2,08-02 16:03:06,08-03 09:37:07,none,none,none,08-03 11:20:28,103,shenfu,BTCUSDT,short,zero,oppo,-6.12,-0.0101,0.85,0.0014,-6.81,-0.0298,0.30,0,10.66,-113.83,12,6,0,0,118,0
 macd2,08-03 02:38:26,08-03 09:25:27,none,none,none,08-03 11:25:09,119,N377138609,TRBUSDT,short,zero,oppo,-3.15,-0.0031,5.48,0.0055,-15.50,-0.0200,0.50,0,10.66,-59.33,12,6,0,0,120,0
 macd2,08-03 06:21:51,08-03 09:25:52,none,none,none,08-03 11:50:15,144,N156778931,RENDERUSDT,short,zero,oppo,-17.75,-0.0287,4.72,0.0079,-18.37,-0.0347,0.30,0,10.66,-85.87,12,6,0,0,122,0
 macd2,08-03 08:03:23,08-03 10:20:23,none,none,none,08-03 12:45:43,145,N881054659,1000SATSUSDT,long,zero,oppo,-7.11,-0.0118,7.58,0.0126,-10.43,-0.0480,0.30,0,10.66,-110.75,12,6,0,0,124,0
